allophones,confidence,description,domainelement_pk,frequency,id,jsondata,marginal,markup_description,name,pk,valueset_pk
,,,,,104215,{},False,,ɭ Malyangapa (ER 2968),104214,104214
,,,,,104242,{},False,,ɭ Wadikali (ER 2969),104241,104241
,,,,,104269,{},False,,ɭ Yardliyawarra (ER 2970),104268,104268
,,,,,104295,{},False,,ɭ Dhangu (ER 2971),104294,104294
,,,,,104322,{},False,,ɭ Gupapuyngu (ER 2972),104321,104321
,,,,,104352,{},False,,ɭ Dhay'yi (ER 2973),104351,104351
,,,,,104379,{},False,,ɭ Djambarrpuyngu (ER 2974),104378,104378
,,,,,104410,{},False,,ɭ Gumatj (ER 2975),104409,104409
,,,,,104439,{},False,,ɭ Djinang (ER 2976),104438,104438
,,,,,104464,{},False,,ɭ Djinba (ER 2977),104463,104463
,,,,,104491,{},False,,ɭ Nhangu (ER 2978),104490,104490
,,,,,104522,{},False,,ɭ Ritharrngu (ER 2979),104521,104521
,,,,,104694,{},False,,ɭ West Djadjawurung (ER 2988),104693,104693
,,,,,104771,{},False,,ɭ Djapu (ER 2992),104770,104770
,,,,,104796,{},False,,ɭ Dharawal (ER 2993),104795,104795
,,,,,104821,{},False,,ɭ Dharumba (ER 2994),104820,104820
,,,,,104846,{},False,,ɭ Dhurga (ER 2995),104845,104845
,,,,,104871,{},False,,ɭ Djirringany (ER 2996),104870,104870
,,,,,104896,{},False,,ɭ Gundungurra (ER 2997),104895,104895
,,,,,104939,{},False,,ɭ Ngunawal (ER 2999),104938,104938
,,,,,104964,{},False,,ɭ Thawa (ER 3000),104963,104963
,,,,,104989,{},False,,ɭ Gangalidda (ER 3001),104988,104988
,,,,,105061,{},False,,ɭ Yangkaralda (ER 3004),105060,105060
,,,,,105085,{},False,,ɭ Tiwi (ER 3005),105084,105084
,,,,,105107,{},False,,ɭ Wagiman (ER 3006),105106,105106
,,,,,105133,{},False,,ɭ Ngarinyin (ER 3007),105132,105132
,,,,,105156,{},False,,ɭ Gambera (ER 3008),105155,105155
,,,,,105184,{},False,,ɭ Kwini (ER 3009),105183,105183
,,,,,105212,{},False,,ɭ Wunambal (ER 3010),105211,105211
,,,,,105237,{},False,,ɭ Umiida (ER 3011),105236,105236
,,,,,105261,{},False,,ɭ Unggumi (ER 3012),105260,105260
,,,,,105287,{},False,,ɭ Worrorra (ER 3013),105286,105286
,,,,,105311,{},False,,ɭ Yawijibaya (ER 3014),105310,105310
,,,,,105335,{},False,,ɭ Wardaman (ER 3015),105334,105334
,,,,,105357,{},False,,ɭ Yangman (ER 3016),105356,105356
,,,,,105401,{},False,,ɭ Ngardily (ER 3018),105400,105400
,,,,,105424,{},False,,ɭ Piangil (ER 3019),105423,105423
